fips,mtfcc,lane_miles
6085,S1200,853.2840657677131
6085,S1400,13511.283413661902
6087,S1100,141.0009518123933
6087,S1200,481.995499590278
6087,S1400,4540.852030211332
6089,S1100,616.8468027190215
6089,S1200,1080.7310371992835
6089,S1400,14824.038111539698
6091,S1100,13.42718651663461
6091,S1200,223.2980594023464
6091,S1400,4486.810076286435
6093,S1100,552.3951301862177
6093,S1200,725.7558206675676
6093,S1400,24505.626421887457
6095,S1100,707.9848935415599
6095,S1200,282.574477643177
6095,S1400,7502.5673393655525
6097,S1100,1035.3131698416023
6097,S1200,748.3260600032321
6097,S1400,11330.231116912904
6099,S1100,653.4647198697619
6099,S1200,442.0787787920233
6099,S1400,6705.615598213427
6101,S1100,24.844626633619832
6101,S1200,369.7389969137736
6101,S1400,2951.414216562506
6103,S1100,441.4883177340808
6103,S1200,491.5721635155922
6103,S1400,11476.327011556261
6105,S1200,506.475046564113
6105,S1400,8898.808229976778
6107,S1100,870.8370484410963
6107,S1200,3188.520264935037
6107,S1400,17822.87049273198
6109,S1100,8.947138201963128
6109,S1200,717.8781521859918
6109,S1400,7516.864839951206
6111,S1100,1651.5631376283616
6111,S1200,1191.5840696839578
6111,S1400,11235.430596791643
6113,S1100,811.504460387981
6113,S1200,304.3503445361147
6113,S1400,4067.8932803094726
6115,S1100,108.18901543363386
6115,S1200,164.5958478397288
6115,S1400,3954.5379353785574
8001,S1100,1481.6174780311849
8001,S1200,710.1446302316126
8001,S1400,8148.876931812329
8003,S1200,263.5975073706721
8003,S1400,2708.557122800771
8005,S1100,1299.8937322364645
8005,S1200,670.544009336134
8005,S1400,6762.3533143987215
8007,S1200,253.13169650554426
8007,S1400,3501.3499324082677
8009,S1200,677.4512043979662
8009,S1400,4606.330578924305
8011,S1200,187.0277323520979
8011,S1400,2254.8309357955704
8013,S1100,134.55764994974638
8013,S1200,1014.9129741929619
8013,S1400,5008.618135812343
8014,S1100,192.34805085530388
8014,S1200,94.54756504957608
8014,S1400,719.9002085558803
8015,S1200,300.6729339659975
8015,S1400,2536.178758820289
8017,S1200,362.60552866524637
8017,S1400,2406.324570205578
8019,S1100,594.2058724082406
8019,S1200,238.97310360963365
8019,S1400,1891.2842553034902
8021,S1200,273.69013759272053
8021,S1400,2571.144680139731
8023,S1200,178.99310983635849
8023,S1400,7540.010842813022
8025,S1200,196.784619644343
8025,S1400,1509.3991479011643
8027,S1200,211.92540938059037
8027,S1400,2568.8500575651524
8029,S1200,301.4216986247981
8029,S1400,2781.435582371567
8031,S1100,672.7885161833277
8031,S1200,370.7167697754128
8031,S1400,4350.237460315822
8033,S1200,88.64474685667676
8033,S1400,2553.834548143653
8035,S1100,934.2898372943422
8035,S1200,428.55311751274036
8035,S1400,6656.160933648409
8037,S1100,653.589210101945
8037,S1200,262.3853334476629
8037,S1400,5411.250525198358
8039,S1100,654.4397876724005
8039,S1200,151.05030986526356
8039,S1400,4506.490370611591
8041,S1100,1099.1139371396355
8041,S1200,632.696860194472
8041,S1400,14580.61081538378
8043,S1200,386.3150429403399
8043,S1400,4453.287393495393
8045,S1100,667.2150147146716
8045,S1200,460.43798374624333
8045,S1400,7295.3027696368845
8047,S1200,86.84134744492336
8047,S1400,966.6645941106653
8049,S1200,387.6041708896123
8049,S1400,4477.071589775734
8051,S1200,388.61047186224636
8051,S1400,6834.54027096221
8053,S1200,81.10730295008777
8053,S1400,906.7179042149301
8055,S1100,798.9541668926264
8055,S1200,246.05561929692485
8055,S1400,3862.7328553981984
8057,S1200,264.11615704224573
8057,S1400,4591.567189676815
8059,S1100,749.7463805893514
8059,S1200,754.020963126224
8059,S1400,7848.941133601447
8061,S1200,390.82053396177594
8061,S1400,2534.227855774805
8063,S1100,598.2140164798428
8063,S1200,288.4822603111741
8063,S1400,4870.531553613975
8065,S1200,145.84929370364534
8065,S1400,1077.8074601812543
8067,S1200,419.1495558603108
8067,S1400,4969.689493646281
8069,S1100,626.1323581511526
8069,S1200,1140.279873555279
8069,S1400,12445.33566362391
8071,S1100,1138.0843481730922
8071,S1200,467.16308937571233
8071,S1400,6786.356269607016
8073,S1100,243.22055398716986
8073,S1200,450.6505323135331
8073,S1400,3750.9157144168225
8075,S1100,381.6676281654705
8075,S1200,417.00921674322666
8075,S1400,4574.7273738995045
8077,S1100,841.8910452137817
8077,S1200,624.808895214874
8077,S1400,7283.731119197847
8079,S1200,125.58996999834044
8079,S1400,1023.8486444782329
8081,S1200,524.6415372391571
8081,S1400,7377.65884899274
8083,S1200,568.5794712082164
8083,S1400,5140.057635507228
8085,S1200,477.16427084995564
8085,S1400,5218.594586165726
8087,S1100,694.1043228218844
8087,S1200,481.57517614377525
8087,S1400,3870.3407088650692
8089,S1200,599.2600488566982
8089,S1400,2959.508915877637
8091,S1200,128.38293590281603
8091,S1400,1320.7838864472294
8093,S1200,352.4595168462841
8093,S1400,7017.043332892214
8095,S1200,206.83312215927236
8095,S1400,2046.4384440047497
8097,S1200,150.51825316053743
8097,S1400,1733.2730931208744
8099,S1200,582.1609930478146
8099,S1400,3710.232485314279
8101,S1100,1164.8649382489562
8101,S1200,630.9706072533018
8101,S1400,9202.726992035801
8103,S1200,300.83037222106907
8103,S1400,5999.264874618297
8105,S1200,289.20985443841215
8105,S1400,2601.909877573777
8107,S1200,310.01073845131214
8107,S1400,5011.550383610708
